,ACCESSION,TAXON_ID,TITLE,LINEAGE
11,XM_017458315.1,7998,"PREDICTED: Ictalurus punctatus brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Siluriformes', 'Siluroidei', 'Ictaluridae', 'Ictalurus', 'Ictalurus punctatus']"
12,XM_007246912.3,7994,"PREDICTED: Astyanax mexicanus brain derived neurotrophic factor (bdnf), transcript variant X2, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Characiformes', 'Characoidei', 'Characidae', 'Stethaprioninae', 'Astyanax', 'Astyanax mexicanus']"
13,XM_037534737.1,42514,"PREDICTED: Pygocentrus nattereri brain-derived neurotrophic factor (bdnf), mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Characiformes', 'Characoidei', 'Serrasalmidae', 'Pygocentrus', 'Pygocentrus nattereri']"
14,XM_027008950.2,8005,"PREDICTED: Electrophorus electricus brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Otophysi', 'Characiphysae', 'Gymnotiformes', 'Gymnotoidei', 'Gymnotidae', 'Electrophorus', 'Electrophorus electricus']"
15,XM_030766568.1,29144,"PREDICTED: Chanos chanos brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Otomorpha', 'Ostariophysi', 'Anotophysi', 'Gonorynchiformes', 'Chanoidei', 'Chanidae', 'Chanos', 'Chanos chanos']"
16,XM_010890492.3,8010,"PREDICTED: Esox lucius brain-derived neurotrophic factor (bdnf), transcript variant X3, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Protacanthopterygii', 'Esociformes', 'Esocidae', 'Esox', 'Esox lucius']"
17,XM_014025998.1,52670,"PREDICTED: Austrofundulus limnaeus brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Aplocheiloidei', 'Rivulidae', 'Austrofundulus', 'Austrofundulus limnaeus']"
18,XM_011610142.2,31033,"PREDICTED: Takifugu rubripes brain derived neurotrophic factor (bdnf), transcript variant X4, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Eupercaria', 'Tetraodontiformes', 'Tetraodontoidei', 'Tetradontoidea', 'Tetraodontidae', 'Takifugu', 'Takifugu rubripes']"
19,XM_012850758.3,8078,"PREDICTED: Fundulus heteroclitus brain-derived neurotrophic factor (bdnf), transcript variant X3, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Fundulidae', 'Fundulus', 'Fundulus heteroclitus']"
20,XM_015384151.1,28743,"PREDICTED: Cyprinodon variegatus brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Cyprinodontidae', 'Cyprinodontinae', 'Cyprinodontini', 'Cyprinodon', 'Cyprinodon variegatus']"
21,XM_005812534.2,8083,"PREDICTED: Xiphophorus maculatus brain derived neurotrophic factor (bdnf), transcript variant X5, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus', 'Xiphophorus maculatus']"
22,XM_028014411.1,32473,"PREDICTED: Xiphophorus couchianus brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus', 'Xiphophorus couchianus']"
23,XM_032560178.1,8084,"PREDICTED: Xiphophorus hellerii brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Xiphophorus', 'Xiphophorus hellerii']"
24,XM_014998831.1,48701,"PREDICTED: Poecilia mexicana brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Poecilia', 'Poecilia mexicana']"
25,XM_015049425.1,48699,"PREDICTED: Poecilia latipinna brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Poecilia', 'Poecilia latipinna']"
26,XM_007553873.2,48698,"PREDICTED: Poecilia formosa brain-derived neurotrophic factor (bdnf), transcript variant X8, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Poecilia', 'Poecilia formosa']"
27,XM_008405147.2,8081,"PREDICTED: Poecilia reticulata brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Cyprinodontoidei', 'Poeciliidae', 'Poeciliinae', 'Poecilia', 'Poecilia reticulata']"
28,XM_004067039.4,8090,"PREDICTED: Oryzias latipes brain derived neurotrophic factor (bdnf), transcript variant X5, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyoidei', 'Adrianichthyidae', 'Oryziinae', 'Oryzias', 'Oryzias latipes']"
29,XM_024296236.2,30732,"PREDICTED: Oryzias melastigma brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyoidei', 'Adrianichthyidae', 'Oryziinae', 'Oryzias', 'Oryzias melastigma']"
30,XM_017440456.3,37003,"PREDICTED: Kryptolebias marmoratus brain-derived neurotrophic factor (bdnf), transcript variant X2, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Aplocheiloidei', 'Rivulidae', 'Kryptolebias', 'Kryptolebias marmoratus']"
31,XM_015953355.1,105023,"PREDICTED: Nothobranchius furzeri brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Atherinomorphae', 'Cyprinodontiformes', 'Aplocheiloidei', 'Nothobranchiidae', 'Nothobranchius', 'Nothobranchius furzeri']"
32,XM_028443281.1,441366,"PREDICTED: Gouania willdenowi brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Blenniimorphae', 'Blenniiformes', 'Gobiesocoidei', 'Gobiesocidae', 'Gobiesocinae', 'Gouania', 'Gouania willdenowi']"
33,XM_005466922.3,8128,"PREDICTED: Oreochromis niloticus brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Oreochromini', 'Oreochromis', 'Oreochromis niloticus']"
34,XM_031744875.1,47969,"PREDICTED: Oreochromis aureus brain derived neurotrophic factor (bdnf), mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Oreochromini', 'Oreochromis', 'Oreochromis aureus']"
35,XM_005937203.2,8153,"PREDICTED: Haplochromis burtoni brain-derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Haplochromini', 'Haplochromis', 'Haplochromis burtoni']"
36,XM_026166368.1,8154,"PREDICTED: Astatotilapia calliptera brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Haplochromini', 'Astatotilapia', 'Astatotilapia calliptera']"
37,XM_004543257.3,106582,"PREDICTED: Maylandia zebra brain derived neurotrophic factor (bdnf), transcript variant X1, mRNA","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Actinopterygii', 'Actinopteri', 'Neopterygii', 'Teleostei', 'Osteoglossocephalai', 'Clupeocephala', 'Euteleosteomorpha', 'Neoteleostei', 'Eurypterygia', 'Ctenosquamata', 'Acanthomorphata', 'Euacanthomorphacea', 'Percomorphaceae', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Haplochromini', 'Maylandia', 'Maylandia zebra complex', 'Maylandia zebra']"
